11c,2
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
a,0,a
b,0,b
c,0,c
d,0,d
e,0,e
f,0,f
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
1a,0,1a
1b,0,1b
1c,0,1c
1d,0,1d
1e,0,1e
1f,0,1f
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
2a,0,2a
2b,0,2b
2c,0,2c
2d,0,2d
2e,0,2e
2f,0,2f
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
3a,0,3a
3b,0,3b
3c,0,3c
3d,0,3d
3e,0,3e
3f,0,3f
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
4a,0,4a
4b,0,4b
4c,0,4c
4d,0,4d
4e,0,4e
4f,0,4f
50,0,50
51,0,51
52,0,52
53,0,53
54,0,54
55,0,55
56,0,56
57,0,57
58,0,58
59,0,59
5a,0,5a
5b,0,5b
5c,0,5c
5d,0,5d
5e,0,5e
5f,0,5f
60,0,60
61,0,61
62,0,62
63,0,63
64,0,64
65,0,65
66,0,66
67,0,67
68,0,68
69,0,69
6a,0,6a
6b,0,6b
6c,0,6c
6d,0,6d
6e,0,6e
6f,0,6f
70,0,70
71,0,71
72,0,72
73,0,73
74,0,74
75,0,75
76,0,76
77,0,77
78,0,78
79,0,79
7a,0,7a
7b,0,7b
7c,0,7c
7d,0,7d
7e,0,7e
7f,0,7f
a1,0,ad
a2,0,9b
a3,0,9c
a5,0,9d
a7,0,bf
aa,0,a6
ab,0,ae
ac,0,aa
b0,0,f8
b1,0,f1
b2,0,fd
b5,0,e6
b6,0,be
b7,0,fa
ba,0,a7
bb,0,af
bc,0,ac
bd,0,ab
be,0,ba
bf,0,a8
c3,0,b0
c4,0,8e
c5,0,8f
c6,0,92
c7,0,80
c9,0,90
d1,0,a5
d5,0,b4
d6,0,99
dc,0,9a
df,0,e1
e0,0,85
e1,0,a0
e2,0,83
e3,0,b1
e4,0,84
e5,0,86
e6,0,91
e7,0,87
e8,0,8a
e9,0,82
ea,0,88
eb,0,89
ec,0,8d
ed,0,a1
ee,0,8c
ef,0,8b
f1,0,a4
f2,0,95
f3,0,a2
f4,0,93
f5,0,b5
f6,0,94
f7,0,f6
f9,0,97
fa,0,a3
fb,0,96
fc,0,81
ff,0,98
128,0,b2
129,0,b3
132,0,b8
133,0,b9
168,0,b6
169,0,b7
192,0,9f
393,0,e2
394,0,d8
398,0,e9
3a3,0,e4
3a6,0,e8
3a9,0,ea
3b1,0,e0
3b4,0,eb
3c0,0,e3
3c3,0,e5
3c4,0,e7
3c9,0,da
2021,0,d9
2022,1,47
2030,0,bd
207f,0,fc
20a7,0,9e
2205,0,ed
2208,0,ee
2219,0,f9
221a,0,fb
221e,0,ec
2229,0,ef
223d,0,bb
2248,0,f7
2261,0,f0
2264,0,f3
2265,0,f2
2310,0,a9
2320,0,f4
2321,0,f5
2500,1,57
2502,1,56
250c,1,58
2510,1,59
2514,1,5a
2518,1,5b
251c,1,54
2524,1,53
252c,1,52
2534,1,51
253c,1,55
2571,1,5d
2572,1,5e
2573,1,5c
2580,0,df
2582,0,c0
2584,0,dc
2586,0,c2
2588,0,db
258a,0,c8
258c,0,dd
258e,0,c6
2590,0,de
2596,0,d6
2597,0,d4
2598,0,d3
259a,0,c1
259d,0,d5
259e,0,c7
25a0,0,fe
25ac,0,c4
25c7,0,bc
25cb,1,49
25d8,1,48
25d9,1,4a
263a,1,41
263b,1,42
263c,1,4f
2640,1,4c
2642,1,4b
2660,1,46
2663,1,45
2665,1,43
2666,1,44
266a,1,4d
266b,1,4e
27ca,1,50
1fb6c,0,cf
1fb6d,0,cd
1fb6e,0,d0
1fb6f,0,ce
1fb82,0,c3
1fb85,0,c5
1fb87,0,c9
1fb8a,0,ca
1fb96,0,d7
1fb98,0,cc
1fb99,0,cb
1fb9a,0,d1
1fb9b,0,d2
1fbaf,1,5f
